프로젝트 제목,타입,금액,기간,유형,레벨,기술들,위치
ASP.NET MVC 기반 웹 포탈 개발,"월 금액6,000,000","6,000,000",120일,프론트엔드 개발자,미드 레벨,"['ASP.NET · 경력 무관', 'MSSQL · 경력 무관', 'C# · 경력 무관']",경기도 용인시 기흥구
Tauri(Rust) 활용 파이썬 임베드 프로그램,"예상 금액6,000,000원","6,000,000원",20일,,,"['Rust', 'Tauri']",서울특별시 서초구
음성신호 처리용 NRF5340 칩 펌웨어 개발,"월 금액7,500,000","7,500,000",90일,풀스택 개발자,시니어,"['C · 10년 이상', 'Bluetooth · 8년 이상', 'C++ · 경력 무관']",서울특별시 구로구
회사 소개 사이트 내 애니메이션 추가 개발,"예상 금액2,000,000원","2,000,000원",10일,,,[],경기도 화성시
eXbuilder6로 구현된 서비스의 jsp 개발 컨설팅,"예상 금액300,000원","300,000원",1일,,,"['exBuilder6', 'JSP']",서울특별시 금천구
워드프레스 기반 웹 오류 수정 및 페이지 추가 개발,"예상 금액1,250,000원","1,250,000원",7일,,,['WordPress'],경기도 고양시 덕양구
스마트 지하수 관리시스템 구축,"예상 금액80,000,000원","80,000,000원",90일,,,[],경상북도 경산시
웹 기반 이미지 편집 툴 퀄리티 업 및 고도화,"예상 금액1,500,000원","1,500,000원",7일,,,['Vue.js'],서울특별시 중랑구
"빌링시스템 리뉴얼 간 공통, 권한관리 화면 개발","월 금액7,500,000","7,500,000",240일,프론트엔드 개발자,시니어,"['Vue.js · 경력 무관', 'Spring Boot · 경력 무관', 'Java · 경력 무관']",경기도 성남시 분당구
"빌링시스템 리뉴얼 간 공통, 권한관리 기능 개발","월 금액7,500,000","7,500,000",240일,풀스택 개발자,시니어,"['Java · 경력 무관', 'Spring Boot · 경력 무관']",경기도 성남시 분당구
데이팅 APP UI/UX 기획,"월 금액5,000,000","5,000,000",90일,UI/UX 기획자,미드 레벨,[],서울특별시 강남구
MICE 웹 플랫폼 개발,"예상 금액20,000,000원","20,000,000원",60일,,,"['GCP', 'MariaDB', 'React']",서울특별시 중구
신청/결제 프로세스 웹서비스 프런트엔드 개발,"예상 금액4,000,000원","4,000,000원",30일,,,[],경기도 안산시 단원구
카페 24 기반 입점몰 농식품바우처 PG 연동 개발,"예상 금액5,000,000원","5,000,000원",30일,,,"['MariaDB', '카페24']",경기도 광주시
코스메틱 브랜드 네이밍 및 브랜드 스토리 개발,"예상 금액350,000원","350,000원",2일,,,[],서울특별시 마포구
기존 반응형 웹 페이지 리뉴얼 디자인 및 퍼블리싱,"예상 금액4,000,000원","4,000,000원",30일,,,"['Adobe Photoshop', 'CSS', 'HTML', 'Zeplin']",서울특별시 광진구
영어 학원 소개 홈페이지 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
Cafe24 기반 자사몰 반응형 웹 구축,"예상 금액5,000,000원","5,000,000원",30일,,,[],서울특별시 강남구
"스탠드 조명 연동 Android, iOS 앱 프로토타입 개발","예상 금액5,000,000원","5,000,000원",30일,,,"['Android', 'iOS']",광주광역시 북구
컬러 팔레트 프로그램 설계 및 개발,"예상 금액3,000,000원","3,000,000원",30일,,,[],서울특별시 중구
안면인증 Web 솔루션 도입에 따른 개발 지원,"월 금액6,000,000","6,000,000",90일,프론트엔드 개발자,미드 레벨,"['JavaScript · 10년 이하', 'React · 10년 이하', 'Vue.js · 10년 이하', 'HTML · 10년 이하', 'CSS · 10년 이하']",경기도 성남시 분당구
스테레오비전 기반 실시간 3D 재구성이 가능한 3D 스캐너 하드웨어 및 펌웨어 구축,"예상 금액70,000,000원","70,000,000원",90일,,,[],경기도 화성시
